run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
102,s04_vel_pi_staircase,g000012_c4,12,,,,,,1.4744282817163452,0.09816015496982448,,,,,,,9.0893,15.2412,7.9037,0.0,0.5578,13.0,13.0,,,,,,2.58233,PASS,
103,s04_vel_pi_staircase,g000012_c5,12,,,,,,3.5592124766039936,0.0040766173697108984,,,,,,,9.9138,15.2555,7.6549,0.0,0.5776,13.0,13.0,,,,,,2.72418,PASS,
104,s04_vel_pi_staircase,g000012_c6,12,,,,,,0.2593935062805493,0.0024760587671207586,,,,,,,5.8945,15.2302,7.1936,0.0,0.517,0.0,13.0,,,,,,2.14045,PASS,
105,s04_vel_pi_staircase,g000012_c7,12,,,,,,2.3461793553960573,0.01843308406361315,,,,,,,9.8771,15.2604,7.6819,0.0,0.5524,13.0,13.0,,,,,,2.64491,PASS,
106,s04_vel_pi_staircase,g000013_c0,13,,,,,,0.6202915372843475,0.002319781192447941,,,,,,,6.6435,15.2405,7.2301,0.0,0.4642,13.0,13.0,,,,,,2.05695,PASS,
107,s04_vel_pi_staircase,g000013_c1,13,,,,,,3.274313093743458,0.025343576416662263,,,,,,,9.8269,15.2568,7.7384,0.0,0.5635,13.0,13.0,,,,,,2.67319,PASS,
108,s04_vel_pi_staircase,g000013_c2,13,,,,,,0.4423510209128192,0.022026117219753283,,,,,,,6.579,15.2355,7.4284,0.0,0.4667,13.0,13.0,,,,,,2.058,PASS,
109,s04_vel_pi_staircase,g000013_c3,13,,,,,,1.0266760191632116,0.003279905107560038,,,,,,,8.0235,15.2346,7.7164,0.0,0.5481,13.0,13.0,,,,,,2.44665,PASS,
110,s04_vel_pi_staircase,g000013_c4,13,,,,,,0.5095530025412398,0.008927070372426479,,,,,,,6.5615,15.2434,7.2978,0.0,0.4642,13.0,13.0,,,,,,2.04875,PASS,
111,s04_vel_pi_staircase,g000013_c5,13,,,,,,0.14076370212033784,0.011828383735387377,,,,,,,5.238,13.3572,7.3008,0.0,0.6135,0.0,13.0,,,,,,2.3643,PASS,
112,s04_vel_pi_staircase,g000013_c6,13,,,,,,0.13451782011065477,0.0011806335830803396,,,,,,,5.0299,13.1133,7.4461,0.0,0.6791,0.0,13.0,,,,,,2.54029,PASS,
113,s04_vel_pi_staircase,g000013_c7,13,,,,,,1.299601207034174,0.004414516825616627,,,,,,,8.7119,15.2474,7.7034,0.0,0.5385,13.0,13.0,,,,,,2.48669,PASS,
114,s04_vel_pi_staircase,g000014_c0,14,,,,,,0.5033787575336698,0.005488633540745577,,,,,,,6.5285,15.2576,7.2677,0.0,0.4649,13.0,13.0,,,,,,2.04755,PASS,
115,s04_vel_pi_staircase,g000014_c1,14,,,,,,1.55509027835706,0.030665458657506778,,,,,,,9.2181,15.2474,7.7974,0.0,0.5979,13.0,13.0,,,,,,2.71551,PASS,
116,s04_vel_pi_staircase,g000014_c2,14,,,,,,0.3366576932246374,0.03768726769666423,,,,,,,6.563,15.2594,7.6211,0.0,0.4745,0.0,13.0,,,,,,2.0798,PASS,
117,s04_vel_pi_staircase,g000014_c3,14,,,,,,0.7479142259518657,0.003038823110326037,,,,,,,7.1974,15.2327,7.5891,0.0,0.5292,13.0,13.0,,,,,,2.30734,PASS,
118,s04_vel_pi_staircase,g000014_c4,14,,,,,,0.11000259035636709,0.010780536484706128,,,,,,,4.8605,11.023,7.5234,0.0,0.7049,0.0,13.0,,,,,,2.60075,PASS,
119,s04_vel_pi_staircase,g000014_c5,14,,,,,,1.4289834816198728,0.0058321595224206935,,,,,,,8.8579,15.2492,7.7746,0.0,0.5668,13.0,13.0,,,,,,2.58619,PASS,
120,s04_vel_pi_staircase,g000014_c6,14,,,,,,0.3219614235291609,0.0039076862785745485,,,,,,,6.1434,15.242,7.2389,0.0,0.4919,0.0,13.0,,,,,,2.09004,PASS,
121,s04_vel_pi_staircase,g000014_c7,14,,,,,,0.43479315361060256,0.01963558992361267,,,,,,,6.5492,15.2489,7.4132,0.0,0.4675,13.0,13.0,,,,,,2.05742,PASS,
122,s04_vel_pi_staircase,g000015_c0,15,,,,,,0.1626271652677385,0.025219172196545632,,,,,,,5.6681,14.5511,7.3312,0.0,0.5403,0.0,13.0,,,,,,2.18771,PASS,
123,s04_vel_pi_staircase,g000015_c1,15,,,,,,0.21785935076577698,0.0012299321414209199,,,,,,,5.6701,15.2124,7.1719,0.0,0.5462,0.0,13.0,,,,,,2.20561,PASS,
124,s04_vel_pi_staircase,g000015_c2,15,,,,,,0.3015102493054347,0.00882302759050063,,,,,,,6.1337,15.2564,7.2823,0.0,0.4928,0.0,13.0,,,,,,2.09177,PASS,
125,s04_vel_pi_staircase,g000015_c3,15,,,,,,1.044910772385374,0.017068976184324305,,,,,,,8.1165,15.2367,7.8119,0.0,0.5513,13.0,13.0,,,,,,2.46555,PASS,
126,s04_vel_pi_staircase,g000015_c4,15,,,,,,0.979905365987551,0.023201391306303516,,,,,,,8.0606,15.2422,7.639,0.0,0.5388,13.0,13.0,,,,,,2.42246,PASS,
127,s04_vel_pi_staircase,g000015_c5,15,,,,,,1.334792360532946,0.03170975930705378,,,,,,,8.7939,15.2504,7.8555,0.0,0.5505,13.0,13.0,,,,,,2.53089,PASS,
128,s04_vel_pi_staircase,g000015_c6,15,,,,,,0.32891675878729615,0.024070997556320983,,,,,,,6.3943,15.2477,7.4678,0.0,0.4782,0.0,13.0,,,,,,2.07403,PASS,
129,s04_vel_pi_staircase,g000015_c7,15,,,,,,0.12919433464833022,0.0078044244017359985,,,,,,,5.0529,12.567,7.3876,0.0,0.6598,0.0,13.0,,,,,,2.48469,PASS,
